seqnames	start	end	id	score	strand	MCF10A_CTCF_random100.narrowPeak	MCF10AT1_CTCF_random100.narrowPeak	MCF10CA1_CTCF_random100.narrowPeak	cluster_id
chr1	17507898	17508319	1	0	.	FALSE	TRUE	FALSE	5
chr1	40855546	40855866	2	0	.	TRUE	FALSE	FALSE	5
chr1	53444333	53445008	3	0	.	TRUE	TRUE	TRUE	1
chr1	64137020	64137657	4	0	.	TRUE	TRUE	TRUE	4
chr1	65075339	65076014	5	0	.	TRUE	TRUE	FALSE	2
chr1	92818291	92818802	6	0	.	TRUE	TRUE	TRUE	3
chr1	152926094	152926530	7	0	.	TRUE	TRUE	TRUE	3
chr1	154326213	154326596	8	0	.	TRUE	FALSE	FALSE	5
chr1	159071999	159072595	9	0	.	TRUE	TRUE	TRUE	2
chr1	159197815	159198424	10	0	.	TRUE	TRUE	TRUE	6
chr1	161139797	161140230	11	0	.	TRUE	TRUE	FALSE	5
chr1	240003912	240004836	12	0	.	TRUE	TRUE	TRUE	5
chr2	7097064	7097799	13	0	.	TRUE	TRUE	TRUE	5
chr2	64312358	64312746	14	0	.	TRUE	TRUE	TRUE	3
chr2	85728846	85729360	15	0	.	TRUE	TRUE	TRUE	3
chr2	121888013	121888760	16	0	.	TRUE	TRUE	TRUE	3
chr2	162220726	162221370	17	0	.	TRUE	TRUE	TRUE	1
chr2	181954281	181954679	18	0	.	TRUE	FALSE	FALSE	5
chr2	218898181	218898717	19	0	.	TRUE	FALSE	FALSE	5
chr2	222317846	222318268	20	0	.	TRUE	FALSE	FALSE	6
chr2	236352828	236353526	21	0	.	TRUE	TRUE	TRUE	6
chr2	237060769	237061401	22	0	.	TRUE	TRUE	FALSE	2
chr2	237322527	237323080	23	0	.	TRUE	TRUE	TRUE	4
chr3	20339994	20340735	24	0	.	TRUE	TRUE	TRUE	1
chr3	33074433	33074985	25	0	.	TRUE	TRUE	TRUE	4
chr3	90182527	90182961	26	0	.	TRUE	TRUE	TRUE	4
chr3	126081521	126081861	27	0	.	TRUE	FALSE	FALSE	3
chr3	127254656	127255068	28	0	.	TRUE	TRUE	TRUE	5
chr3	143763570	143764096	29	0	.	TRUE	TRUE	TRUE	4
chr4	7803735	7804427	30	0	.	TRUE	TRUE	TRUE	1
chr4	141346112	141346523	31	0	.	TRUE	TRUE	TRUE	6
chr4	187993781	187994220	32	0	.	TRUE	TRUE	TRUE	6
chr5	147391839	147392485	33	0	.	TRUE	TRUE	TRUE	2
chr5	175729635	175730435	34	0	.	TRUE	TRUE	TRUE	4
chr6	10954496	10955008	35	0	.	TRUE	TRUE	TRUE	4
chr6	15623401	15624189	36	0	.	TRUE	TRUE	TRUE	2
chr6	130322461	130323082	37	0	.	TRUE	TRUE	TRUE	1
chr6	145633956	145634636	38	0	.	TRUE	TRUE	TRUE	2
chr7	836393	836786	39	0	.	TRUE	FALSE	FALSE	3
chr7	37097308	37097636	40	0	.	TRUE	FALSE	FALSE	5
chr7	45756799	45757125	41	0	.	TRUE	FALSE	FALSE	5
chr7	74866184	74866623	42	0	.	TRUE	TRUE	TRUE	3
chr7	87148358	87148765	43	0	.	TRUE	TRUE	TRUE	3
chr7	124996882	124997248	44	0	.	TRUE	TRUE	FALSE	5
chr8	10424770	10425722	45	0	.	TRUE	TRUE	TRUE	1
chr8	32547070	32547443	46	0	.	TRUE	FALSE	FALSE	5
chr9	10855417	10856602	47	0	.	FALSE	FALSE	TRUE	6
chr9	69027484	69028255	48	0	.	TRUE	TRUE	TRUE	2
chr9	72038678	72039361	49	0	.	TRUE	TRUE	TRUE	1
chr9	72280731	72281354	50	0	.	TRUE	TRUE	TRUE	1
chr9	98848259	98849018	51	0	.	TRUE	TRUE	TRUE	1
chr9	113681886	113682674	52	0	.	TRUE	TRUE	TRUE	1
chr9	121168977	121169630	53	0	.	TRUE	TRUE	TRUE	2
chr10	6701369	6701665	54	0	.	TRUE	FALSE	FALSE	5
chr10	34974354	34974757	55	0	.	TRUE	TRUE	FALSE	3
chr11	1999830	2000196	56	0	.	TRUE	FALSE	FALSE	6
chr11	11155957	11156535	57	0	.	TRUE	TRUE	TRUE	2
chr11	19903481	19904126	58	0	.	TRUE	TRUE	TRUE	2
chr11	22426920	22427298	59	0	.	TRUE	TRUE	FALSE	4
chr11	65253978	65254472	60	0	.	TRUE	TRUE	TRUE	4
chr11	66222437	66223111	61	0	.	TRUE	TRUE	TRUE	1
chr11	76680706	76681401	62	0	.	TRUE	TRUE	TRUE	5
chr11	77191832	77192443	63	0	.	TRUE	TRUE	TRUE	1
chr11	134726040	134726344	64	0	.	TRUE	FALSE	FALSE	6
chr12	5073849	5074222	65	0	.	TRUE	FALSE	FALSE	5
chr12	44774514	44775384	66	0	.	TRUE	TRUE	TRUE	6
chr12	102769590	102769973	67	0	.	TRUE	TRUE	FALSE	5
chr12	109433763	109434089	68	0	.	TRUE	FALSE	FALSE	3
